Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,107.010002,107.029999,104.82,105.260002,40912300,104.691918
2015-12-30,108.580002,108.699997,107.18,107.32,25213800,106.740798
2015-12-29,106.959999,109.43,106.860001,108.739998,30931200,108.153132
2015-12-28,107.589996,107.690002,106.18,106.82,26704200,106.243496
2015-12-24,109.00,109.00,107.949997,108.029999,13596700,107.446965
2015-12-23,107.269997,108.849998,107.199997,108.610001,32657400,108.023837
2015-12-22,107.400002,107.720001,106.449997,107.230003,32789400,106.651287
2015-12-21,107.279999,107.370003,105.57,107.330002,47590600,106.750746
2015-12-18,108.910004,109.519997,105.809998,106.029999,96453300,105.457759
2015-12-17,112.019997,112.25,108.980003,108.980003,44772800,108.391842
2015-12-16,111.07,111.989998,108.800003,111.339996,56238500,110.739099
2015-12-15,111.940002,112.800003,110.349998,110.489998,52978100,109.893688
2015-12-14,112.18,112.68,109.790001,112.480003,64318700,111.872953
2015-12-11,115.190002,115.389999,112.849998,113.18,46886200,112.569172
2015-12-10,116.040001,116.940002,115.510002,116.169998,29212700,115.543033
2015-12-09,117.639999,117.690002,115.080002,115.620003,46361400,114.996006
2015-12-08,117.519997,118.599998,116.860001,118.230003,34309500,117.591921
2015-12-07,118.980003,119.860001,117.809998,118.279999,32084200,117.641646
2015-12-04,115.290001,119.25,115.110001,119.029999,57777000,118.387598
2015-12-03,116.550003,116.790001,114.220001,115.199997,41569500,114.578267
2015-12-02,117.339996,118.110001,116.080002,116.279999,33386600,115.65244
2015-12-01,118.75,118.809998,116.860001,117.339996,34852400,116.706717
2015-11-30,117.989998,119.410004,117.75,118.300003,39180300,117.661542
2015-11-27,118.290001,118.410004,117.599998,117.809998,13046400,117.174181
2015-11-25,119.209999,119.230003,117.919998,118.029999,21388300,117.392995
2015-11-24,117.330002,119.349998,117.120003,118.879997,42803200,118.238406
2015-11-23,119.269997,119.730003,117.339996,117.75,32482500,117.114508
2015-11-20,119.199997,119.919998,118.849998,119.300003,34287100,118.656145
2015-11-19,117.639999,119.75,116.760002,118.779999,43295800,118.138948
2015-11-18,115.760002,117.489998,115.50,117.290001,46674700,116.656991
2015-11-17,114.919998,115.050003,113.32,113.690002,27616900,113.076422
2015-11-16,111.379997,114.239998,111.00,114.18,38106700,113.563775
2015-11-13,115.199997,115.57,112.269997,112.339996,45812400,111.733702
2015-11-12,116.260002,116.82,115.650002,115.720001,32525600,115.095465
2015-11-11,116.370003,117.419998,115.209999,116.110001,45218000,115.483359
2015-11-10,116.900002,118.07,116.059998,116.769997,59127900,116.139793
2015-11-09,120.959999,121.809998,120.050003,120.57,33871400,119.919288
2015-11-06,121.110001,121.809998,120.620003,121.059998,33042300,120.406641
2015-11-05,121.849998,122.690002,120.18,120.919998,39552700,120.267398
2015-11-04,123.129997,123.82,121.620003,122.00,44886100,120.824373
2015-11-03,120.790001,123.489998,120.699997,122.57,45519000,121.388881
2015-11-02,120.800003,121.360001,119.610001,121.18,32203300,120.012276
2015-10-30,120.989998,121.220001,119.449997,119.50,49365300,118.348464
2015-10-29,118.699997,120.690002,118.269997,120.529999,51227300,119.368538
2015-10-28,116.93,119.300003,116.059998,119.269997,85551400,118.120677
2015-10-27,115.400002,116.540001,113.989998,114.550003,69884400,113.446167
2015-10-26,118.080002,118.129997,114.919998,115.279999,66333800,114.169128
2015-10-23,116.699997,119.230003,116.330002,119.080002,59366900,117.932513
2015-10-22,114.330002,115.50,114.099998,115.50,41654100,114.387009
2015-10-21,114.00,115.580002,113.699997,113.760002,41795200,112.663779
2015-10-20,111.339996,114.169998,110.82,113.769997,48967800,112.673677
2015-10-19,110.800003,111.75,110.110001,111.730003,29759200,110.653341
2015-10-16,111.779999,112.00,110.529999,111.040001,38236300,109.969988
2015-10-15,110.93,112.099998,110.489998,111.860001,37673500,110.782086
2015-10-14,111.290001,111.519997,109.559998,110.209999,44462400,109.147984
2015-10-13,110.82,112.449997,110.68,111.790001,33049300,110.712761
2015-10-12,112.730003,112.75,111.440002,111.599998,30467200,110.524589
2015-10-09,110.00,112.279999,109.489998,112.120003,52766100,111.039583
2015-10-08,110.190002,110.190002,108.209999,109.50,61979600,108.444827
2015-10-07,111.739998,111.769997,109.410004,110.779999,46765600,109.712491
2015-10-06,110.629997,111.739998,109.769997,111.309998,48857000,110.237383
2015-10-05,109.879997,111.370003,109.07,110.779999,52064700,109.712491
2015-10-02,108.010002,111.010002,107.550003,110.379997,58019800,109.316344
2015-10-01,109.07,109.620003,107.309998,109.580002,63929100,108.524058
2015-09-30,110.169998,111.540001,108.730003,110.300003,66473000,109.237121
2015-09-29,112.830002,113.510002,107.860001,109.059998,73365400,108.009065
2015-09-28,113.849998,114.57,112.440002,112.440002,52109000,111.356499
2015-09-25,116.440002,116.690002,114.019997,114.709999,56151900,113.604621
2015-09-24,113.25,115.50,112.370003,115.00,50219500,113.891827
2015-09-23,113.629997,114.720001,113.300003,114.32,35756700,113.21838
2015-09-22,113.379997,114.18,112.519997,113.400002,50346200,112.307247
2015-09-21,113.669998,115.370003,113.660004,115.209999,50222000,114.099803
2015-09-18,112.209999,114.300003,111.870003,113.449997,74285300,112.356761
2015-09-17,115.660004,116.489998,113.720001,113.919998,64112600,112.822233
2015-09-16,116.25,116.540001,115.440002,116.410004,37173500,115.288244
2015-09-15,115.93,116.529999,114.419998,116.279999,43341200,115.159492
